Tweet ID,Original Tweet,Preprocessed,Reference Translation: Google Translation,Reference Translation: Microsoft Translation,Translated Tweet: M2M-100 model,Translated Tweet: MarianMT model,Created At,Language
1669531645362454528,"Nos reunimos con Ursula von der Leyen, presidenta de la Comisión Europea, una mujer inteligente y agradable. En términos de cooperación económica convenimos en apresurar la firma del Tratado de Libre Comercio entre nuestro país y la Unión Europea. https://t.co/wrTgyrFdhL","nos reunimos con ursula von der leyen, presidenta de la comision europea, una mujer inteligente y agradable. en terminos de cooperacion economica convenimos en apresurar la firma del tratado de libre comercio entre nuestro pais y la union europea.","we met with ursula von der leyen, president of the european commission, an intelligent and pleasant woman. In terms of economic cooperation, we agree to hasten the signing of the free trade agreement between our country and the European Union.","We met Ursula von der Leyen, President of the European Commission, an intelligent and pleasant woman. IN TERMS OF ECONOMIC COOPERATION, WE AGREE TO EXPEDITE THE SIGNING OF THE FREE TRADE AGREEMENT BETWEEN OUR COUNTRY AND THE EUROPEAN UNION.","We have met with Ursula von der Leyen, President of the European Commission, a smart and friendly woman.","We met with Ursula von der Leyen, president of the European Commission, an intelligent and pleasant woman. In terms of economic cooperation we agreed to hasten the signing of the free trade agreement between our country and the European union.",2023-06-16 02:25:37+00:00,es
1669434557039546369,"Platiqué con el embajador Graeme C. Clark. En Canadá se prepara la futura Cumbre de América del Norte con el primer ministro Justin Trudeau y el presidente de Estados Unidos, Joe Biden. Son muy buenas las relaciones entre nuestros países. https://t.co/CPTtLZRrch","platique con el embajador graeme c. clark. en canada se prepara la futura cumbre de america del norte con el primer ministro justin trudeau y el presidente de estados unidos, joe biden. son muy buenas las relaciones entre nuestros paises.","I spoke with ambassador graeme c. clark. in canada the future summit of north america is being prepared with prime minister justin trudeau and the president of the united states, joe biden. Relations between our countries are very good.","Talk to Ambassador Graeme C. Clark. In Canada, the future North American summit is being prepared with Prime Minister Justin Trudeau and US President Joe Biden. The relations between our countries are very good.",The future North American Summit is being prepared with Prime Minister Justin Trudeau and President Joe Biden.,"talk with the ambassador Graeme v. clark. in canada prepares the future summit of North America with the Prime Minister justin trudeau and the president of the United States, joe biden. very good relations between our countries.",2023-06-15 19:59:49+00:00,es
1669376306285547520,Abanderamiento de la delegación mexicana de los XXIV Juegos Centroamericanos y del Caribe https://t.co/NVKvOJZ6w9,abanderamiento de la delegacion mexicana de los xxiv juegos centroamericanos y del caribe,flag of the Mexican delegation of the xxiv Central American and Caribbean Games,FLAG OF THE MEXICAN DELEGATION OF THE XXIV Central American and Caribbean Games,flag of the Mexican delegation of the XXIV Central American and Caribbean Games,flag of the Mexican delegation of the xxiv Central American and Caribbean games,2023-06-15 16:08:21+00:00,es
1669332707891920897,"La fuerza de nuestro movimiento está en el pueblo. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/XdMWDkuCO3","la fuerza de nuestro movimiento esta en el pueblo. conferencia de prensa matutina, desde palacio nacional","The strength of our movement is in the people. morning press conference, from the national palace","The strength of our movement is in the people. Morning press conference, from the National Palace",The strength of our movement is in the people.,"the strength of our movement is in the village. morning press conference, from National Palace",2023-06-15 13:15:06+00:00,es
1668972378708377600,"Garantizamos el abasto de agua en beneficio del pueblo. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/rbFOepk5xk","garantizamos el abasto de agua en beneficio del pueblo. conferencia de prensa matutina, desde palacio nacional","We guarantee the supply of water for the benefit of the people. morning press conference, from the national palace","We guarantee the supply of water for the benefit of the people. Morning press conference, from the National Palace",We guarantee water supply for the benefit of the people.,"guarantee the water supply for the benefit of the people. morning press conference, from National Palace",2023-06-14 13:23:17+00:00,es
1668735632762609664,Sostuvimos una buena conversación con los consejeros del INE. La democracia debe establecerse en México para siempre. Nunca más 'krátos' (poder) sin 'demos' (pueblo). https://t.co/WXoqpenHWj,sostuvimos una buena conversacion con los consejeros del ine. la democracia debe establecerse en mexico para siempre. nunca mas 'kratos' (poder) sin 'demos' (pueblo).,We had a good conversation with the ine advisors. Democracy must be established in Mexico forever. never again 'kratos' (power) without 'demos' (people).,We had a good conversation with the INE counselors. Democracy must be established in Mexico forever. Never again 'kratos' (power) without 'demos' (people).,We had a good conversation with the councillors of the INE. Democracy must be established in Mexico forever.,We had a good conversation with the advisers of the ine.Democracy must be established in mexico forever. never more 'kratos' (power) without 'demos' (people).,2023-06-13 21:42:33+00:00,es
1668608231630045185,"Conferencia de prensa matutina, desde Palacio Nacional https://t.co/ijw1TUZMpa","conferencia de prensa matutina, desde palacio nacional","morning press conference, from the national palace","Morning press conference, from the National Palace","Morning press conference, from the national palace","morning press conference, from National Palace",2023-06-13 13:16:18+00:00,es
1668242692319637505,"Conferencia de prensa matutina, desde Palacio Nacional https://t.co/p7IE1MiRAv","conferencia de prensa matutina, desde palacio nacional","morning press conference, from the national palace","Morning press conference, from the National Palace","Morning press conference, from the national palace","morning press conference, from National Palace",2023-06-12 13:03:46+00:00,es
1667951806058758144,"Programas para el Bienestar, desde Huauchinango, Puebla https://t.co/DpEpvASS2I","programas para el bienestar, desde huauchinango, puebla","wellness programs, from huauchinango, puebla","Wellness Programs, from Huauchinango, Puebla","Wellness programs, from Huauchinango, village","programs for the well-being, from Huauchinango, village",2023-06-11 17:47:54+00:00,es
1667704335025979392,"Programas para el Bienestar, desde Álamo Temapache, Veracruz https://t.co/pIAk9PaSRV","programas para el bienestar, desde alamo temapache, veracruz","wellness programs, from alamo temapache, veracruz","Wellness Programs, from Alamo Temapache, Veracruz","programmes for welfare, from alamo temapache, veracruz","programs for the well-being, from alamo temapache, veracruz",2023-06-11 01:24:32+00:00,es
1667645336758923265,"Programas para el Bienestar, desde Huejutla de Reyes, Hidalgo https://t.co/lf5U3mSHWd","programas para el bienestar, desde huejutla de reyes, hidalgo","wellness programs, from huejutla de reyes, hidalgo","Wellness Programs, from Huejutla de Reyes, Hidalgo","Wellness programmes, from the egg of kings, to the hedgehog","programs for well-being, from the haunt of kings, hidalgo",2023-06-10 21:30:06+00:00,es
1667595375937748993,"Programas para el Bienestar, desde Tamazunchale, San Luis Potosí https://t.co/zIQwfwO597","programas para el bienestar, desde tamazunchale, san luis potosi","wellness programs, from tamazunchale, san luis potosi","Wellness Programs, from Tamazunchale, San Luis Potosi","programmes for well-being, from tamazunchale, san luis potosi","welfare programmes, from Tamazunchale, San Luis Potosi",2023-06-10 18:11:34+00:00,es
1667577690793316360,"Xilitla es el lugar de los encuentros y de las culturas, aquí floreció la portentosa civilización huasteca en la época prehispánica y al mismo tiempo puede verse el jardín surrealista del inglés Edward James, del siglo pasado. Amanecimos en el cielo. https://t.co/2NmnooMgom","xilitla es el lugar de los encuentros y de las culturas, aqui florecio la portentosa civilizacion huasteca en la epoca prehispanica y al mismo tiempo puede verse el jardin surrealista del ingles edward james, del siglo pasado. amanecimos en el cielo.","Xilitla is the place of encounters and cultures, the prodigious Huastec civilization flourished here in pre-Hispanic times and at the same time you can see the surreal garden of the Englishman Edward James, from the last century. we woke up in heaven","Xilitla is the place of encounters and cultures, here flourished the portentous Huasteca civilization in the pre-Hispanic era and at the same time you can see the surrealist garden of the English Edward James, of the last century. We woke up in heaven.","Xililla is the place of encounters and cultures, where the magnificent Hustonian civilization flourished in","xilitla is the place of encounters and cultures, here flourishes the portentous huasteca civilization in the prehispanic era and at the same time you can see the surrealist garden of the English edward james, of the last century. we dawned in the sky.",2023-06-10 17:01:18+00:00,es
1667316770632507394,"Programas para el Bienestar, desde Xilitla, San Luis Potosí https://t.co/pWBpT9fFOx","programas para el bienestar, desde xilitla, san luis potosi","wellness programs, from xilitla, san luis potosi","Wellness Programs, from Xilitla, San Luis Potosi","programmes for welfare, from xlitla, san luis potosi","welfare programs, from xilitla, san luis potosi",2023-06-09 23:44:30+00:00,es
1667154607116812289,"Conferencia de prensa matutina, desde Palacio Nacional https://t.co/HWEdMwf9XH","conferencia de prensa matutina, desde palacio nacional","morning press conference, from the national palace","Morning press conference, from the National Palace","Morning press conference, from the national palace","morning press conference, from National Palace",2023-06-09 13:00:07+00:00,es
1666795082165665793,"Conferencia de prensa matutina, desde Palacio Nacional https://t.co/LZPSKNkYxQ","conferencia de prensa matutina, desde palacio nacional","morning press conference, from the national palace","Morning press conference, from the National Palace","Morning press conference, from the national palace","morning press conference, from National Palace",2023-06-08 13:11:29+00:00,es
1666576043468296192,"Me reuní con Pete Buttigieg, secretario de Transporte del gobierno de Estados Unidos. Tratamos, en plan respetuoso y propositivo, el traslado de aerolíneas de carga al Aeropuerto Internacional Felipe Ángeles y el regreso del Aeropuerto Internacional Benito Juárez a la categoría… https://t.co/672k99jdMm https://t.co/Y9PXS6rqRv","me reuni con pete buttigieg, secretario de transporte del gobierno de estados unidos. tratamos, en plan respetuoso y propositivo, el traslado de aerolineas de carga al aeropuerto internacional felipe angeles y el regreso del aeropuerto internacional benito juarez a la categoria...","I met with pete buttigieg, secretary of transportation for the united states government. We treat, in a respectful and purposeful plan, the transfer of cargo airlines to the Felipe Angeles International Airport and the return of the Benito Juarez International Airport to the category...","I met with Pete Buttigieg, the U.S. Secretary of Transportation. We treat, in a respectful and proactive plan, the transfer of cargo airlines to the Felipe Angeles International Airport and the return of the Benito Juarez International Airport to the...","I'm meeting with Pete Buttigieg, Secretary of Transportation for the United States Government. We're dealing, respectfully","I met pete buttigeg, secretary of transport of the government of the United States. We tried, in a respectful and proactive plan, the transfer of cargo airlines to the international airport felipe angeles and the return of the international airport benito juarez to the category...",2023-06-07 22:41:06+00:00,es
1666437246541496325,"Conferencia de prensa matutina, desde Palacio Nacional https://t.co/MxKpYRFXIn","conferencia de prensa matutina, desde palacio nacional","morning press conference, from the national palace","Morning press conference, from the National Palace","Morning press conference, from the national palace","morning press conference, from National Palace",2023-06-07 13:29:35+00:00,es
1666170361325699072,Plan de Salud IMSS Bienestar Hidalgo https://t.co/tPfCjmvjPs,plan de salud imss bienestar hidalgo,health plan imss wellness hidalgo,IMSS Bienestar Hidalgo Health Plan,health plan imss welfare,health plan imss well-being hidalgo,2023-06-06 19:49:04+00:00,es
1666071537752096773,"Conferencia de prensa matutina, desde Palacio Nacional https://t.co/oSRL1j0FnA","conferencia de prensa matutina, desde palacio nacional","morning press conference, from the national palace","Morning press conference, from the National Palace","Morning press conference, from the national palace","morning press conference, from National Palace",2023-06-06 13:16:23+00:00,es
1665706656129507337,La gente demanda participar en la construcción de una nueva legalidad y convivencia. Conferencia matutina https://t.co/eQVwbjCFD5,la gente demanda participar en la construccion de una nueva legalidad y convivencia. conferencia matutina,people demand to participate in the construction of a new legality and coexistence. morning conference,People demand to participate in the construction of a new legality and coexistence. Morning Conference,People demand to participate in building a new legality and coexistence.,people demand to participate in the construction of a new legality and coexistence.,2023-06-05 13:06:28+00:00,es
1665493844316811264,"Es tan grandiosa y grande —perdón la redundancia, pero es distinto— la obra del Tren Maya, que en mil 554 kilómetros hay 104.7 km de viaductos (segundos pisos); además, incluye mil 502 pasos elevados y a desnivel y, lo más importante, 545 pasos de fauna, equivalentes a todos los… https://t.co/Nqv6Jmp8sj https://t.co/9Y72VYA8Vk","es tan grandiosa y grande --perdon la redundancia, pero es distinto-- la obra del tren maya, que en mil 554 kilometros hay 104.7 km de viaductos (segundos pisos); ademas, incluye mil 502 pasos elevados y a desnivel y, lo mas importante, 545 pasos de fauna, equivalentes a todos los...","The work of the Mayan train is so grandiose and great -- sorry for the redundancy, but it is different -- that in 1,554 kilometers there are 104.7 km of viaducts (second floors); In addition, it includes 1,502 overpasses and overpasses and, most importantly, 545 wildlife crossings, equivalent to all...","It is so great and great --forgive the redundancy, but it is different-- the work of the Mayan Train, that in one thousand 554 kilometers there are 104.7 km of viaducts (second floors); In addition, it includes one thousand 502 overpasses and unevenness and, most importantly, 545 wildlife crossings, equivalent to all...","It's so great and big -- I'm sorry to be redundant, but it's different -- the work of the","It is so great and great -- sorry for the redundancy, but it is different -- the work of the Mayan train, which in a thousand 554 kilometers there are 104.7 km of viaducts (second floors); besides, it includes a thousand 502 elevated and uneven steps and, most importantly, 545 steps of fauna, equivalent to all...",2023-06-04 23:00:50+00:00,es
1665480779021811713,"Lamento el fallecimiento de Ricardo Rocha. Fuimos muy amigos, me abrió espacios en medios de comunicación cuando casi todo estaba cerrado para nosotros. Abrazo a toda su familia.","lamento el fallecimiento de ricardo rocha. fuimos muy amigos, me abrio espacios en medios de comunicacion cuando casi todo estaba cerrado para nosotros. abrazo a toda su familia.","I regret the death of Ricardo Rocha. We were very close friends, he opened spaces for me in the media when almost everything was closed to us. I hug all your family.","I mourn the passing of Ricardo Rocha. We were very friends, I opened spaces in the media when almost everything was closed to us. I hug his whole family.","I'm sorry about the passing of Richard Rock. We were very close friends, I opened up media spaces when almost everything was","I regret the death of rich rocha.We were very friends, I opened spaces in the media when almost everything was closed for us.I embrace his whole family.",2023-06-04 22:08:55+00:00,es
1665172888050368513,Evaluamos la construcción del Aeropuerto Internacional Felipe Carrillo Puerto. Lleva 44 por ciento de avance; ya está prácticamente terminada la pista de 3 mil 700 metros y hay 4 mil 800 trabajadores de la construcción dirigidos por los ingenieros militares responsables de la… https://t.co/nkMMtu2ybE https://t.co/mLOUnImjpn,evaluamos la construccion del aeropuerto internacional felipe carrillo puerto. lleva 44 por ciento de avance; ya esta practicamente terminada la pista de 3 mil 700 metros y hay 4 mil 800 trabajadores de la construccion dirigidos por los ingenieros militares responsables de la...,"We evaluated the construction of the Felipe Carrillo Puerto International Airport. it is 44 percent advanced; The 3,700-meter track is practically finished and there are 4,800 construction workers directed by the military engineers responsible for the...","We evaluate the construction of the Felipe Carrillo Puerto International Airport. it is 44 percent complete; The 3,700-meter runway is practically finished and there are 4,800 construction workers led by the military engineers responsible for the...","We are evaluating the construction of the international airport felipe carrillo port. it is 44 percent ahead; the 3,700 meter run","We evaluate the construction of the international airport felipe lanelo port. it takes 44 percent advance; it is already practically finished the runway of 3,700 meters and there are 4,800 construction workers led by the military engineers responsible for the construction of...",2023-06-04 01:45:28+00:00,es
1664764414954987521,Plan de Salud IMSS Bienestar Quintana Roo https://t.co/Dyv7ye1bop,plan de salud imss bienestar quintana roo,health plan imss well-being quintana roo,IMSS Bienestar Quintana Roo Health Plan,health plan imss welfare quintana roo,health plan imss welfare quintana roo,2023-06-02 22:42:21+00:00,es
1664620976909484032,La política del Gobierno de México promueve el crecimiento con bienestar y justicia. Conferencia matutina https://t.co/QUZRwTFRrK,la politica del gobierno de mexico promueve el crecimiento con bienestar y justicia. conferencia matutina,the policy of the government of mexico promotes growth with welfare and justice. morning conference,The policy of the Government of Mexico promotes growth with well-being and justice. Morning Conference,The government's policy in Mexico promotes growth with well-being and justice.,Mexican government policy promotes growth with well-being and justice.,2023-06-02 13:12:22+00:00,es
1664439313927651330,"Estamos por celebrar un convenio de creación de plantas de licuefacción y construcción de plataformas marinas de gas con la empresa New Fortress Energy. Aunque ya se inició una primera etapa en Altamira, de ampliarse a toda su capacidad significaría una inversión estimada de 5… https://t.co/QLz2R87xAt https://t.co/SeTDjEP9wF","estamos por celebrar un convenio de creacion de plantas de licuefaccion y construccion de plataformas marinas de gas con la empresa new fortress energy. aunque ya se inicio una primera etapa en altamira, de ampliarse a toda su capacidad significaria una inversion estimada de 5...","We are about to enter into an agreement for the creation of liquefaction plants and the construction of offshore gas platforms with the company New Fortress Energy. Although a first stage has already begun in Altamira, expanding to its full capacity would mean an estimated investment of 5...","We are about to enter into an agreement for the creation of liquefaction plants and construction of offshore gas platforms with the company New Fortress Energy. Although a first stage has already begun in Altamira, if expanded to its full capacity it would mean an estimated investment of 5...",We are about to conclude an agreement for the creation of liquefaction plants and the construction of offshore gas platforms with the company,"We are about to conclude an agreement of creation of liquefaction plants and construction of marine platforms of gas with the company new fortress energy. although it has already started a first stage in highmira, to expand to all its ability would mean an estimated investment of 5...",2023-06-02 01:10:30+00:00,es
1664391521230274560,"Plan de Salud IMSS Bienestar, desde Altamira, Tamaulipas https://t.co/Z1PMYgPqc8","plan de salud imss bienestar, desde altamira, tamaulipas","imss wellness health plan, from altamira, tamaulipas","IMSS Bienestar Health Plan, from Altamira, Tamaulipas","Health and wellness plan, from altamira, tamaulipas","health plan imss well-being, from Altamira, Tamaulipas",2023-06-01 22:00:36+00:00,es
1664310462799052806,"Día de la Marina Nacional, desde Ciudad Madero, Tamaulipas https://t.co/rTyQBryJ8G","dia de la marina nacional, desde ciudad madero, tamaulipas","National Navy Day, from Ciudad Madero, Tamaulipas","National Navy Day, from Ciudad Madero, Tamaulipas","Day of the national navy, from the city of timber, tamaulipas","day of the national navy, from log city, tamaulipas",2023-06-01 16:38:30+00:00,es
1664254732658147328,"Conferencia de prensa matutina, desde Tamaulipas https://t.co/C6rR5OvEYE","conferencia de prensa matutina, desde tamaulipas","morning press conference, from Tamaulipas","Morning press conference, from Tamaulipas","Morning press conference, from tamaulipas","morning press conference, from Tamaulipas",2023-06-01 12:57:03+00:00,es
1664051673214627841,Plan de Salud IMSS Bienestar Tamaulipas https://t.co/8WAYtgRaS8,plan de salud imss bienestar tamaulipas,health plan imss welfare tamaulipas,IMSS Bienestar Tamaulipas Health Plan,health plan imss welfare tamaulipas,health plan imss welfare tamaulipas,2023-05-31 23:30:10+00:00,es
1664001520357232640,"Invitamos a desayunar en Palacio Nacional a los representantes de autores y compositores de México y del extranjero; auténticos defensores del gremio, creativos y admirables. https://t.co/1fxq4t5gsh","invitamos a desayunar en palacio nacional a los representantes de autores y compositores de mexico y del extranjero; autenticos defensores del gremio, creativos y admirables.","We invite the representatives of authors and composers from Mexico and abroad to have breakfast at the National Palace; authentic defenders of the guild, creative and admirable.","We invite representatives of authors and composers from Mexico and abroad to breakfast at the National Palace; Authentic defenders of the guild, creative and admirable.","We invite to our national palace the representatives of authors and composers from Mexico and abroad, authentic guild advo","We invite the representatives of authors and composers of mexico and abroad to have breakfast in the national palace; authentic defenders of the guild, creative and admirable.",2023-05-31 20:10:52+00:00,es
1663898648479150080,"Federación, estados y municipios coordinamos esfuerzos para modernizar infraestructura de abasto de agua. Conferencia matutina https://t.co/VDvvkqA9gr","federacion, estados y municipios coordinamos esfuerzos para modernizar infraestructura de abasto de agua. conferencia matutina","federation, states and municipalities coordinate efforts to modernize water supply infrastructure. morning conference","Federation, states and municipalities coordinate efforts to modernize water supply infrastructure. Morning Conference",We are coordinating efforts to modernize water supply infrastructure.,"federation, states and municipalities coordinate efforts to modernize water supply infrastructure.",2023-05-31 13:22:06+00:00,es
1663743672784162817,"Reunión conjunta sobre el tema migratorio con Elizabeth Sherwood-Randall, asesora de Seguridad Nacional de la Casa Blanca; el embajador Ken Salazar y otros servidores públicos del gobierno de EE.UU. Gracias en especial a los gobernadores de Chiapas, Tabasco, Oaxaca y Veracruz.… https://t.co/29raVHZjrG https://t.co/RNI8ebHKtu","reunion conjunta sobre el tema migratorio con elizabeth sherwood-randall, asesora de seguridad nacional de la casa blanca; el embajador ken salazar y otros servidores publicos del gobierno de ee.uu. gracias en especial a los gobernadores de chiapas, tabasco, oaxaca y veracruz....","joint meeting on immigration with elizabeth sherwood-randall, white house national security adviser; ambassador ken salazar and other public servants of the us government. Special thanks to the governors of Chiapas, Tabasco, Oaxaca and Veracruz....","joint meeting on immigration with Elizabeth Sherwood-Randall, White House National Security Adviser; Ambassador Ken Salazar and other public servants of the U.S. government, thanks in particular to the governors of Chiapas, Tabasco, Oaxaca and Veracruz....","Joint meeting on immigration with Elizabeth Sherwood-Randall, White House national security adviser; Ambassador Ken Salazar and","Joint meeting on the issue of migration with elizabeth sherwood-randall, national security adviser of the White House; the ambassador ken salazar and other public servants of the government of ee.uu. thanks especially to the governors of chiapas, tabasco, Oaxaca and veracruz....",2023-05-31 03:06:17+00:00,es
