Tweet ID,Original Tweet,Preprocessed,Reference Translation: Google Translation,Reference Translation: Microsoft Translation,Translated Tweet: M2M-100 model,Translated Tweet: MarianMT model,Created At,Language
1609264441672998912,hoy yo no voy a beber,hoy yo no voy a beber,today I am not going to drink,Today I'm not going to drink,I'm not drinking today.,Today I won't drink,2022-12-31 19:05:16+00:00,es
1608989959188549632,estoy sudao,estoy sudao,I'm sweaty,I'm sweaty,I'm sweating,I'm sweaty.,2022-12-31 00:54:34+00:00,es
1608906584037675009,"perdón, mala mia","perdon, mala mia","loss, my bad","sorry, bad mine","I'm sorry, my poor girl.","I'm sorry, my bad.",2022-12-30 19:23:16+00:00,es
1608582709798133761,le quedan dos días a diciembre y yo no he comido tembleque todavía,le quedan dos dias a diciembre y yo no he comido tembleque todavia,December has two days left and I haven't eaten trembling yet,He has two days left in December and I haven't eaten tremor yet.,There's two days left in December and I haven't eaten shakes yet.,"It's two days to December, and I haven't eaten tembleque yet.",2022-12-29 21:56:18+00:00,es
1608267899105607680,que las cosas no salgan como tu querías no significan que salieron mal,que las cosas no salgan como tu querias no significan que salieron mal,Just because things don't go the way you wanted doesn't mean they went wrong,Just because things don't go your way doesn't mean they went wrong.,Just because things don't go your way doesn't mean they went wrong.,That things don't go the way you wanted them didn't mean they went wrong.,2022-12-29 01:05:21+00:00,es
1608266607847145472,cada cual se cuida de la manera que sabe,cada cual se cuida de la manera que sabe,everyone takes care of themselves in the way they know how,Everyone takes care of themselves in the way they know,Each takes care of himself the way he knows,everyone takes care of themselves the way he knows,2022-12-29 01:00:14+00:00,es
1608173962961498113,como una estrella en la inmensidad,como una estrella en la inmensidad,like a star in the immensity,Like a star in the immensity,Like a star in the vastness,Like a star in immensity,2022-12-28 18:52:05+00:00,es
1608172970500923396,algodón,algodon,cotton,Cotton,cotton,cotton,2022-12-28 18:48:09+00:00,es
1607894166914367489,"""LA JUMPA""

en vivo HOY / 10:00 pm 🎄📍🇵🇷","""la jumpa""
en vivo hoy / 10:00 pm","""la jumpa"" live today / 10:00 pm","""The Jumpa""
Live Today / 10:00 pm","""la jumpa"" live today / 10:00 pm","""The Jump"" Live Today / 10:00 pm",2022-12-28 00:20:17+00:00,es
1607533251937329152,que cosa más bonita,que cosa mas bonita,what a beautiful thing,what a beautiful thing,What's more beautiful,What a beautiful thing.,2022-12-27 00:26:08+00:00,es
1607089607534837763,yo que soy dramático y la vida dándome libreto de más,yo que soy dramatico y la vida dandome libreto de mas,I am dramatic and life giving me too much script,I am dramatic and life giving me libretto of more,I'm a dramatic and life gives me a little more,I'm a dramatist and life giving me more script,2022-12-25 19:03:15+00:00,es
1607015910505697281,feliz navidad,feliz navidad,merry christmas,Merry Christmas,Merry Christmas,Merry Christmas.,2022-12-25 14:10:24+00:00,es
1606852059504025600,taaa bien,taaa bien,sooo good,taaa well,It's good.,That's good.,2022-12-25 03:19:19+00:00,es
1606675729722253314,"tripleta de jamón, pavo y pastrami con botella de malta","tripleta de jamon, pavo y pastrami con botella de malta","Triplet of ham, turkey and pastrami with a bottle of malt","Triplet of ham, turkey and pastrami with malt bottle","triplets of ham, turkey and pastrami with bottle of malt","triplet of ham, turkey and pastrami with malt bottle",2022-12-24 15:38:39+00:00,es
1606669053866545152,días como hoy la nostalgia coge a uno y te mete 30 puños,dias como hoy la nostalgia coge a uno y te mete 30 punos,days like today nostalgia takes one and puts 30 punches,Days like today nostalgia takes one and you get 30 punos,♪ days like today ♪ ♪ nostalgia takes one and puts 30 punches on you ♪,days like today nostalgia grabs one and shoves 30 puns into you,2022-12-24 15:12:07+00:00,es
1606103220677316608,"ESTO ES PA' QUE PRENDAN LA CALLE DESDE YA CON ESTA...

""GATO DE NOCHE"" 🐈‍⬛🥵 
con el Ñengosooooo 

https://t.co/ZvpXyfu5ER","esto es pa' que prendan la calle desde ya con esta...
""gato de noche""
con el nengosooooo","This is so that they light up the street from now on with this... ""night cat"" with the nengosooooo","this is to 'that they light the street from now with this...
""Night cat""
with the nengosooooo","This is the street they're going to start with with this... ""night cat"" with the nerd.","This is why they're starting the street with this... ""nightcat"" with the nengosoooo.",2022-12-23 01:43:42+00:00,es
1605618404785680384,"""¿Cómo van a convencerme de que la magia no existe?""","""?como van a convencerme de que la magia no existe?""","""How are you going to convince me that magic doesn't exist?""","""How are they going to convince me that magic doesn't exist?""","""how are you going to convince me that magic doesn't exist?""","""how are you going to convince me that magic doesn't exist?""",2022-12-21 17:37:13+00:00,es
1605617948323766273,maldita sea,maldita sea,damn,dammit,Damn it,God damn it.,2022-12-21 17:35:24+00:00,es
1605572154442911744,me la paso el día entero hablando solo,me la paso el dia entero hablando solo,I spend the whole day talking to myself,I spend the whole day talking alone,I spend the whole day talking alone.,I spend the whole day talking to myself.,2022-12-21 14:33:26+00:00,es
1604558392655224835,wow que maldito JUEGO!! EL MEJOR QUE HE VISTO EN MI VIDA! FELICIDADES ARGENTINA!!!! 🇦🇷 SE LOGRÓ!!!! CAMPEONES DEL MUNDO!!!! NADIE SE LA MERECÍA MAS QUE USTEDES!! NADIE LA LUCHÓ MÁS QUE USTEDES!!! MESSI LA CABRA!!!!!!!!!! 🐐🏆,wow que maldito juego!! el mejor que he visto en mi vida! felicidades argentina!!!! se logro!!!! campeones del mundo!!!! nadie se la merecia mas que ustedes!! nadie la lucho mas que ustedes!!! messi la cabra!!!!!!!!!!,wow what a fucking game!! The best I've ever seen in my life! congratulations argentina!!!! was achieved!!!! world champions!!!! no one deserved it more than you!! no one fought it more than you!!! messi the goat!!!!!!!!!,wow what a damn game!! the best I've ever seen! Congratulations Argentina!!! was achieved!!! world champions!!! nobody deserved it more than you!! No one fought it more than you!! Messi the goat!!!!!!!!!,Wow what a damn game!! the best I've ever seen in my life! congratulations Argentina!!!! it's achieved!!!! world champions!!!! nobody deserves it more than you!! nobody fights it more than you!!! messi the goat!!!!!!!!!!,Wow what a fucking game!! the best I've ever seen in my life! Argentine congratulations!!!! is achieved!!!! world champions!!!! nobody deserved it more than you!! nobody fought it more than you!!! messi the goat!!!!!!!!!!!!!,2022-12-18 19:25:06+00:00,es
1604557029024079873,ahora es que mi corazón está empezando a latir a su ritmo normal...,ahora es que mi corazon esta empezando a latir a su ritmo normal...,Now my heart is starting to beat at its normal rate...,Now my heart is starting to beat at its normal rate...,Now my heart is starting to beat at its normal rate...,Now it's just that my heart is starting to beat at its normal rate...,2022-12-18 19:19:41+00:00,es
1604518160035590145,infarto,infarto,heart attack,infarction,Heart attack,heart attack,2022-12-18 16:45:14+00:00,es
1604501529683120128,Ángel Di María,angel di maria,angel of mary,Angel di Maria,Angel of Mary,angel di maria,2022-12-18 15:39:09+00:00,es
1604501225860374532,GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO!!!!!!!!!!!!!!!!!!!!!,goooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo!!!!!!!!!!!!!!!!!!!!!,gooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,goooooo!!!!!!!!!!!!!!!!!!!!oo,Goooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,Gooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2022-12-18 15:37:57+00:00,es
1604466610462490624,muchaaaaaachooooos,muchaaaaaachooooos,muchaaaaachooooos,muchaaaaaachooooos,♪ I'm going to be a little bit more,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2022-12-18 13:20:24+00:00,es
1602750048487571456,GOOOOOOOOOOOOOOOOOOOOOOOOOOOLLLLLLLLLL,gooooooooooooooooooooooooooollllllllll,gooooooooooooooooooooooooooollllllllll,gooooooollllllllllllll,♪ I'm not going to be a fan ♪,Goooooooooooooooooooooooooooooooooooollllllllll,2022-12-13 19:39:23+00:00,es
1601836198531825669,"WOW!!! QUE NOCHEE!!! GRACIAS MEXICO!!! GRACIAS AMÉRICA POR LA MEJOR EXPERIENCIA DE MI VIDA!!!! LOS AMOOOO CON MI VIDA!!!! ME LLEVO ESTA GIRA EN EL CORAZÓN PARA SIEMPRE!! QUE VIVA AMÉRICA LATINA!!! QUE VIVA LA MÚSICA EN ESPAÑOL!!! att. BENITO, DE PUERTO RICO PAL MUNDO ENTERO! ❤️❤️","wow!!! que nochee!!! gracias mexico!!! gracias america por la mejor experiencia de mi vida!!!! los amoooo con mi vida!!!! me llevo esta gira en el corazon para siempre!! que viva america latina!!! que viva la musica en espanol!!! att. benito, de puerto rico pal mundo entero!","wow!!! what a night!!! thanks mexico!!! thank you america for the best experience of my life!!!! I love them with my life!!!! I will carry this tour in my heart forever!! Long live Latin America!!! Long live music in Spanish!!! att. Benito, from Puerto Rico to the whole world!","wow!!! Let it night!! Thank you Mexico!! Thank you America for the best experience of my life!!! I love them with my life!!! I take this tour in my heart forever!! Long live Latin America!! Long live the music in Spanish!! att. Benito, from Puerto Rico pal Mundo!","Wow!!! what a night!!! thank you Mexico!!! thank you America for the best experience of my life!!!! love you with my life!!!! I carry this tour in my heart forever!! live Latin America!!! live music in Spanish!!! att. benito, from Puerto Rico pal the whole world!","wow!!! that night!!! thank you mexico!!! thank you america for the best experience of my life!!!! I love you with my life!!!! I take this tour in my heart forever!! that live Latin America!!! that live the music in Spanish!!! att. benito, from port rich to the whole world!",2022-12-11 07:08:05+00:00,es
1601336340876259329,wow que juego,wow que juego,wow what a game,wow what a game,"Wow, what a game.",wow that game,2022-12-09 22:01:49+00:00,es
1601322663028617216,no te creo,no te creo,I don't believe you,I don't believe you,I don't believe you,I don't believe you.,2022-12-09 21:07:28+00:00,es
1601255301834866688,aun no puedo creer que hoy me presento en El Azteca 🇲🇽💕🔥💕,aun no puedo creer que hoy me presento en el azteca,I still can't believe that today I'm performing at the Azteca,I still can't believe I'm showing up at the Aztec today.,I still can't believe I'm showing up at the Aztec today.,I still can't believe I show up at the Aztec today.,2022-12-09 16:39:48+00:00,es
1600924755661447168,"claro que si, claro que entró...","claro que si, claro que entro...","Of course yes, of course I'm in...","Of course, of course I enter...","Of course I will, of course I will go in...","Of course I do, of course I'm in...",2022-12-08 18:46:20+00:00,es
1599584355575209985,fuap... adivina,fuap... adivina,fuap... adivina,fuap... seer,Fuap... guess what?,fuap... guess what?,2022-12-05 02:00:03+00:00,es
1599530328011337728,tu novio parece que tiene 82 años,tu novio parece que tiene 82 anos,your boyfriend looks like he is 82 years old,your boyfriend looks like he's 82 years old,Your boyfriend looks like he's 82 years old.,Your boyfriend looks like he's 82 years old.,2022-12-04 22:25:22+00:00,es
1599125293012201473,GOOOOOOOOOOOOOL!!!!!!!!,goooooooooooool!!!!!!!!,gooooooooooooool!!!!!!!!!!,goooooooooooool!!!!!!!,Gooooooooooool!!!!,gooooooooooool!!!!!!!!,2022-12-03 19:35:54+00:00,es
1599115542278774784,jajaj wow... la vida está bien loca,jajaj wow... la vida esta bien loca,hahaha wow... life is crazy,hahaj wow... Life is crazy,Wow... life is so crazy.,Hahaj wow... life is crazy.,2022-12-03 18:57:10+00:00,es
1599094250331058176,"el sexo no es importante, es importantísimo","el sexo no es importante, es importantisimo","sex is not important, it is very important","Sex is not important, it is important","Sex is not important, it's very important.","sex isn't important, it's important.",2022-12-03 17:32:33+00:00,es
1598137143637192704,te doy con el bicho y con el lelo,te doy con el bicho y con el lelo,I give you with the bug and with the fool,I give you with the bug and with the lelo,I'll give you the bug and the lemon,I'll hit you with the bug and the lelo.,2022-12-01 02:09:21+00:00,es
1598129796231598082,"a mi me escuchan las abuelas
y sus nietecitos maleantes...
tiradores y estudiantes...
doctores y gangsters...

https://t.co/DYNnCRAngz","a mi me escuchan las abuelas
y sus nietecitos maleantes...
tiradores y estudiantes...
doctores y gangsters...",Grandmas and their thug grandsons listen to me... shooters and students... doctors and gangsters...,"Grandmothers listen to me
and their thug little grandchildren...
shooters and students...
doctors and gangsters...","I'm being listened to by grandmothers and their malevolent grandchildren, shooters and students, doctors and gangsters...",I'm being listened to by grandmothers and their little malecing granddaughters... shooters and students... doctors and gangsters...,2022-12-01 01:40:09+00:00,es
1598098587095031808,una canción con Arcangel siempre es una emoción cabrona pa' mi como si fuera la primera,una cancion con arcangel siempre es una emocion cabrona pa' mi como si fuera la primera,a song with archangel is always a fucking emotion for me as if it were the first,A song with Arcangel is always an emotion cabrona pa' mi as if it were the first,A song with archangel is always a fucking thrill for me like it's the first one.,A song with archangel is always a bastard emotion for me as if it were the first,2022-11-30 23:36:09+00:00,es
1598086549475713024,"Pa' toda la gente que me estuvo escuchando todo el año...

GRACIAS!!!!

AQUÍ LES DEJO UN REGALO JUNTO A ARCANGEL LA FKN MARAVILLA

💕😵‍💫🔥

https://t.co/0XcDaxMEEQ","pa' toda la gente que me estuvo escuchando todo el ano...
gracias!!!!
aqui les dejo un regalo junto a arcangel la fkn maravilla",For all the people who have been listening to me all year... thank you!!!! Here I leave a gift with Archangel the wonderful fkn,"For all the people who were listening to me all year...
Thank you!!!!
Here I leave a gift with Arcangel the FKN wonder",For all the people who have been listening to me all year... thank you!!!! here I leave you a gift with archangel the fkn wonder,pa' all the people who were listening to me all year... thank you!!!! here I leave a gift with Arcangel the wonder fkn,2022-11-30 22:48:19+00:00,es
1597429022656323584,me acabo de enterar de eso,me acabo de enterar de eso,I just found out about it,I just found out about it.,I just found out about that.,I just found out about that.,2022-11-29 03:15:32+00:00,es
1596967817819361280,no hay una loca pa' este locooooo,no hay una loca pa' este locooooo,there is no crazy person for this crazy person,there is no crazy pa' this locooooo,There's no crazy woman for this crazy guy,There's no crazy pa' this crazyooo,2022-11-27 20:42:52+00:00,es
1596965450159902720,necesito aplicar mis propios consejos,necesito aplicar mis propios consejos,I need to apply my own advice,I need to apply my own advice,I need to apply my own advice.,I need to apply my own advice.,2022-11-27 20:33:28+00:00,es
1595696495101083648,si la gente supiera,si la gente supiera,if people knew,If people knew,If people knew,If people knew,2022-11-24 08:31:05+00:00,es
1595609670294593536,hoy está nublado y tronando,hoy esta nublado y tronando,today is cloudy and thundering,Today is cloudy and thundering,Today it's cloudy and thunder,Today it's cloudy and thundering,2022-11-24 02:46:05+00:00,es
1595151140609732608,pa' mi que yo nací pa' estar solo,pa' mi que yo naci pa' estar solo,for me that I was born to be alone,pa' mi que yo naci pa' estar solo,♪ I was born to be alone ♪,For my sake I was born to be alone,2022-11-22 20:24:03+00:00,es
1595127932002848768,la personalidad siempre va por encima del físico,la personalidad siempre va por encima del fisico,personality always goes above the physical,Personality always goes above the physical,The personality always goes above the physical.,the personality always goes above the physical,2022-11-22 18:51:49+00:00,es
1594036626757500928,piensa lo que tu quieras,piensa lo que tu quieras,think what you want,Think what you want,Think what you want,Think what you want.,2022-11-19 18:35:22+00:00,es
1593730418926178304,a mi me gustan las cabezonas,a mi me gustan las cabezonas,I like big heads,I like bigheads,I like heads.,I like big-heads.,2022-11-18 22:18:36+00:00,es
1593407258142072832,"TITI ME PREGUNTÓ TO TO TO TO🎶

WOW!! GRACIAS! GRACIAS @LatinGRAMMYs 🫶🏻  ESTE GRAMMY SE LO DEDICO A LA REPUBLICA DOMINICANA 🇩🇴 Y A TODO EL MOVIMIENTO DEL DEMBOW!! A LOS ARTISTAS, PRODUCTORES, BAILARINES, DIRECTORES DE VIDEOS!! GRACIAS POR LA INSPIRACIÓN, ESE GRAMMY ES DE USTEDES","titi me pregunto to to to to
wow!! gracias! gracias latingrammys este grammy se lo dedico a la republica dominicana y a todo el movimiento del dembow!! a los artistas, productores, bailarines, directores de videos!! gracias por la inspiracion, ese grammy es de ustedes","titi I wonder to to to to wow!! thank you! thanks latingrammys I dedicate this grammy to the Dominican Republic and to the entire dembow movement!! to the artists, producers, dancers, video directors!! thanks for the inspiration, that grammy is yours","titi I wonder to to to to
wow!! Thank you! Thank you LatinGrammys this Grammy I dedicate to the Dominican Republic and the entire Dembow movement! to artists, producers, dancers, video directors!! Thanks for the inspiration, that Grammy is yours","titi I wonder to to to wow!! thank you! thank you latingrammys this grammy is dedicated to the dominican republic and the whole dembow movement!! to the artists, producers, dancers, video directors!! thank you for the inspiration, that grammy is yours","titi I ask myself to to to wow!! thanks! thanks latinrammys this grammy I dedicate to the Dominican republic and to the whole movement of the demow!! to the artists, producers, dancers, directors of videos!! thanks for the inspiration, that grammy is from you",2022-11-18 00:54:29+00:00,es
1593013127112974336,EA DIABLO DUKI 😱🫣,ea diablo duki,of diablo duki,EA Diablo Duki,And the devil of the earth,the devil duki,2022-11-16 22:48:20+00:00,es
1593006386296008704,"tu y yo, yo y tu, nos llevamos bien🎶","tu y yo, yo y tu, nos llevamos bien","you and me, me and you, we get along","You and I, me and you, we get along","You and me, me and you, we get along.","You and me, me and you, we get along.",2022-11-16 22:21:33+00:00,es
1592779866004676608,me duele el pecho y el antebrazo,me duele el pecho y el antebrazo,my chest and forearm hurt,My chest and forearm hurt,I have chest pain and forearm pain,my chest and forearm ache,2022-11-16 07:21:27+00:00,es
1592583112088686592,UN VERANO SIN TI ❤️,un verano sin ti,a summer without you,A summer without you,A summer without you,a summer without you,2022-11-15 18:19:37+00:00,es
1592235811558547457,te doy todo menos mi corazón,te doy todo menos mi corazon,I give you everything except my heart,I give you everything but my heart,I give you everything but my heart,I give you everything but my heart,2022-11-14 19:19:34+00:00,es
1592209980891205632,lo que no te gusta termina encantándote,lo que no te gusta termina encantandote,what you don't like ends up liking you,What you don't like ends up loving you,What you don't like ends up charming you.,What you don't like ends up enchanting you,2022-11-14 17:36:55+00:00,es
1591500549639516161,hoy es sábado,hoy es sabado,Today is Saturday,Today is Saturday,Today is Saturday.,Today's Saturday.,2022-11-12 18:37:54+00:00,es
1591121523179388942,Felicidades a Ash Ketchum en esa gran victoria. Nosotros los que estamos desde el principio sabemos lo mucho que costó 🙌🏻,felicidades a ash ketchum en esa gran victoria. nosotros los que estamos desde el principio sabemos lo mucho que costo,congratulations to ash ketchum on that great win. we who are from the beginning know how much it cost,Congratulations to Ash Ketchum on that great victory. We who are there from the beginning know how much it costs,Congratulations to Ash Ketchum on that great victory.,Congratulations to ash ketchum on that great victory. We who are from the beginning know how much it costs,2022-11-11 17:31:47+00:00,es
1591112178886549505,me gusta cuando me miras,me gusta cuando me miras,I like when you look at me,I like it when you look at me,I like it when you look at me.,I like it when you look at me.,2022-11-11 16:54:39+00:00,es
1590852804406829056,tienes que pegarte pa' que sientas el perfume,tienes que pegarte pa' que sientas el perfume,you have to hit yourself so you can feel the perfume,you have to stick to feel the perfume,You gotta hit it to feel the perfume,You have to stick to feel the perfume.,2022-11-10 23:43:59+00:00,es
1590555497954168832,no me quiero bañar,no me quiero banar,I don't want to bathe,I don't want to ban,I don't want to be a banar,I don't want to bathe.,2022-11-10 04:02:36+00:00,es
1590002758765400064,cruzando la calle sin mirar,cruzando la calle sin mirar,crossing the street without looking,crossing the street without looking,Crossing the street without looking,Crossing the street without looking,2022-11-08 15:26:13+00:00,es
1589765042194771969,si Eva no se hubiera comido la manzana...,si eva no se hubiera comido la manzana...,if eva hadn't eaten the apple...,If Eve hadn't eaten the apple...,If Eva hadn't eaten the apple...,If eva hadn't eaten the apple...,2022-11-07 23:41:37+00:00,es
1589669473979883522,el corazón se llena de lo más simple,el corazon se llena de lo mas simple,the heart is filled with the simplest,The heart is filled with the simplest,The heart is filled with the simplest,the heart is filled with the simplest,2022-11-07 17:21:51+00:00,es
1589449150978207744,"yo lo sé, yo lo sé","yo lo se, yo lo se","I know, I know","I know, I know","I know, I know.","I know, I know.",2022-11-07 02:46:22+00:00,es
1589094982795038720,ARGENTINA!!!!!!!!! ❤️ ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ WOW!!,argentina!!!!!!!!! wow!!,argentina!!!!!!!!! wow!!,Argentina!!!!!!!!! wow!!,Argentine!!!!!!!!! wow!!,Argentina!!!!!! wow!!,2022-11-06 03:19:02+00:00,es
1588273041653788672,gente no le crean... eso sale hoy a la media noche https://t.co/5tWNz68OIz,gente no le crean... eso sale hoy a la media noche,people don't believe him... that comes out tonight at midnight,people don't believe him... That comes out today at midnight,People don't believe him... that comes out at midnight tonight.,People don't believe him... that comes out at midnight tonight.,2022-11-03 20:52:56+00:00,es
1587934964477153280,yo soy afuego,yo soy afuego,I am fire,I am Afuego,I'm out there.,I'm a fireman.,2022-11-02 22:29:32+00:00,es
1587541133441306625,jamas y nunca,jamas y nunca,Never and ever,never and never,Never and never,never and never,2022-11-01 20:24:35+00:00,es
1587461035006611456,yo te lo dije,yo te lo dije,I told you,I told you,I told you,I told you.,2022-11-01 15:06:19+00:00,es
1587235471532474369,por mala pata,por mala pata,por mala pata,By bad leg,By bad foot,for bad paw,2022-11-01 00:10:00+00:00,es
1587232988508602376,esa cancionsita,esa cancionsita,that little song,that little song,That little song,That little song.,2022-11-01 00:00:08+00:00,es
1587173370973638656,tu hueles a pepinillo,tu hueles a pepinillo,you smell like a pickle,you smell like pickle,You smell like peach,You smell like pickle.,2022-10-31 20:03:14+00:00,es
1587163433350356992,yo no puedo creer esto,yo no puedo creer esto,I can't believe this,I can't believe this,I can't believe this.,I can't believe this.,2022-10-31 19:23:45+00:00,es
1586772544626909185,que jodienda mano,que jodienda mano,what a fucking hand,that fucking hand,Fuck my hand,Fuckin' hand.,2022-10-30 17:30:30+00:00,es
1586353091539980289,no te detengas,no te detengas,do not stop,Don't stop,Don't stop,Don't stop.,2022-10-29 13:43:44+00:00,es
1586028527396454400,"yo viviría feliz toda la vida desayunado mangú, salami y queso frito","yo viviria feliz toda la vida desayunado mangu, salami y queso frito","I would live happily all my life eating mangu, salami and fried cheese for breakfast","I would live happily all my life breakfast mangu, salami and fried cheese","I'd live happily ever after breakfast, sleeves, salami and fried cheese.","I would live happily all my life at breakfast mangu, salami and fried cheese",2022-10-28 16:14:02+00:00,es
1586017436100620288,si me ves feliz déjame quieto,si me ves feliz dejame quieto,if you see me happy leave me still,If you see me happy leave me still,If you see me happy leave me alone,"If you see me happy, leave me alone.",2022-10-28 15:29:58+00:00,es
1585704544037740545,con gafas puestas pa' que no me vean el corazón,con gafas puestas pa' que no me vean el corazon,with glasses on so they don't see my heart,with glasses on so that they do not see my heart,With glasses on so they can't see my heart,With glasses on so that they don't see my heart,2022-10-27 18:46:38+00:00,es
1585447422016331782,voy a morderme un deo,voy a morderme un deo,I'm going to bite a finger,I'm going to bite a finger,I'm going to bite a goddamn,I'm gonna bite a deo.,2022-10-27 01:44:56+00:00,es
1585286581753204736,tu fuiste la que me agarraste el webo,tu fuiste la que me agarraste el webo,you were the one who grabbed my webo,You were the one who grabbed me the webo,You were the one who grabbed my web.,You're the one who got me the webo.,2022-10-26 15:05:48+00:00,es
1584763282413740032,vámonos por ahí,vamonos por ahi,let's go there,Let's go there,Let's go around there.,Let's go over there.,2022-10-25 04:26:24+00:00,es
1583605199662305280,un romo que me quite el catarro,un romo que me quite el catarro,a blunt that removes my cold,A blunt that takes away my cold,A rhino that takes my spit out,a romo to take off my cold,2022-10-21 23:44:36+00:00,es
1583304915773890560,"AMÉRICA LATINA... POR FIN!!! 🙌🏻

🇩🇴🇨🇱🇦🇷🇵🇾🇵🇪🇪🇨🇨🇴🇵🇦🇨🇷🇸🇻🇭🇳🇬🇹🇲🇽",america latina... por fin!!!,latin america... finally!!!,Latin America... Finally!!!,Latin America... finally!!!,Latin America... finally!!!,2022-10-21 03:51:22+00:00,es
1583297880411975680,yo siempre te hablo claro,yo siempre te hablo claro,I always speak to you clearly,I always speak clearly to you,I always talk to you straight.,I always talk to you straight.,2022-10-21 03:23:25+00:00,es
